SWA,EVE,4265,32,10003,8668,1,1,2015-04-11 00:00:00,2014/2015
TOT,AVL,4266,32,8586,10252,0,1,2015-04-11 00:00:00,2014/2015
WBA,LEI,4267,32,8659,8197,2,3,2015-04-11 00:00:00,2014/2015
WHU,STK,4268,32,8654,10194,1,1,2015-04-11 00:00:00,2014/2015
AVL,QPR,4270,33,10252,10172,3,3,2015-04-07 00:00:00,2014/2015
CRY,MCI,4252,31,9826,8456,2,1,2015-04-06 00:00:00,2014/2015
BUR,TOT,4250,31,8191,8586,0,0,2015-04-05 00:00:00,2014/2015
SUN,NEW,4256,31,8472,10261,1,0,2015-04-05 00:00:00,2014/2015
ARS,LIV,4249,31,9825,8650,4,1,2015-04-04 00:00:00,2014/2015
CHE,STK,4251,31,8455,10194,2,1,2015-04-04 00:00:00,2014/2015
EVE,SOU,4253,31,8668,8466,1,0,2015-04-04 00:00:00,2014/2015
LEI,WHU,4254,31,8197,8654,2,1,2015-04-04 00:00:00,2014/2015
MUN,AVL,4255,31,10260,10252,3,1,2015-04-04 00:00:00,2014/2015
SWA,HUL,4257,31,10003,8667,3,1,2015-04-04 00:00:00,2014/2015
WBA,QPR,4258,31,8659,10172,1,4,2015-04-04 00:00:00,2014/2015
HUL,CHE,4240,30,8667,8455,2,3,2015-03-22 00:00:00,2014/2015
LIV,MUN,4241,30,8650,10260,1,2,2015-03-22 00:00:00,2014/2015
QPR,EVE,4244,30,10172,8668,1,2,2015-03-22 00:00:00,2014/2015
AVL,SWA,4239,30,10252,10003,0,1,2015-03-21 00:00:00,2014/2015
MCI,WBA,4242,30,8456,8659,3,0,2015-03-21 00:00:00,2014/2015
NEW,ARS,4243,30,10261,9825,1,2,2015-03-21 00:00:00,2014/2015
SOU,BUR,4245,30,8466,8191,2,0,2015-03-21 00:00:00,2014/2015
STK,CRY,4246,30,10194,9826,1,2,2015-03-21 00:00:00,2014/2015
TOT,LEI,4247,30,8586,8197,4,3,2015-03-21 00:00:00,2014/2015
WHU,SUN,4248,30,8654,8472,1,0,2015-03-21 00:00:00,2014/2015
SWA,LIV,4227,29,10003,8650,0,1,2015-03-16 00:00:00,2014/2015
CHE,SOU,4221,29,8455,8466,1,1,2015-03-15 00:00:00,2014/2015
EVE,NEW,4223,29,8668,10261,3,0,2015-03-15 00:00:00,2014/2015
MUN,TOT,4225,29,10260,8586,3,0,2015-03-15 00:00:00,2014/2015
ARS,WHU,4219,29,9825,8654,3,0,2015-03-14 00:00:00,2014/2015
BUR,MCI,4220,29,8191,8456,1,0,2015-03-14 00:00:00,2014/2015
CRY,QPR,4222,29,9826,10172,3,1,2015-03-14 00:00:00,2014/2015
LEI,HUL,4224,29,8197,8667,0,0,2015-03-14 00:00:00,2014/2015
SUN,AVL,4226,29,8472,10252,0,4,2015-03-14 00:00:00,2014/2015
WBA,STK,4228,29,8659,10194,1,0,2015-03-14 00:00:00,2014/2015
QPR,TOT,4205,27,10172,8586,1,2,2015-03-07 00:00:00,2014/2015
QPR,ARS,4211,28,10172,9825,1,2,2015-03-04 00:00:00,2014/2015
WHU,CHE,4213,28,8654,8455,0,1,2015-03-04 00:00:00,2014/2015
LIV,BUR,4214,28,8650,8191,2,0,2015-03-04 00:00:00,2014/2015
MCI,LEI,4215,28,8456,8197,2,0,2015-03-04 00:00:00,2014/2015
NEW,MUN,4216,28,10261,10260,0,1,2015-03-04 00:00:00,2014/2015
STK,EVE,4217,28,10194,8668,2,0,2015-03-04 00:00:00,2014/2015
TOT,SWA,4218,28,8586,10003,3,2,2015-03-04 00:00:00,2014/2015
AVL,WBA,4209,28,10252,8659,2,1,2015-03-03 00:00:00,2014/2015
HUL,SUN,4210,28,8667,8472,1,1,2015-03-03 00:00:00,2014/2015
SOU,CRY,4212,28,8466,9826,1,0,2015-03-03 00:00:00,2014/2015
ARS,EVE,4199,27,9825,8668,2,0,2015-03-01 00:00:00,2014/2015
LIV,MCI,4202,27,8650,8456,2,1,2015-03-01 00:00:00,2014/2015
BUR,SWA,4200,27,8191,10003,0,1,2015-02-28 00:00:00,2014/2015
MUN,SUN,4203,27,10260,8472,2,0,2015-02-28 00:00:00,2014/2015
NEW,AVL,4204,27,10261,10252,1,0,2015-02-28 00:00:00,2014/2015
STK,HUL,4206,27,10194,8667,1,0,2015-02-28 00:00:00,2014/2015
WBA,SOU,4207,27,8659,8466,1,0,2015-02-28 00:00:00,2014/2015
WHU,CRY,4208,27,8654,9826,1,3,2015-02-28 00:00:00,2014/2015
EVE,LEI,4192,26,8668,8197,2,2,2015-02-22 00:00:00,2014/2015
SOU,LIV,4195,26,8466,8650,0,2,2015-02-22 00:00:00,2014/2015
TOT,WHU,4198,26,8586,8654,2,2,2015-02-22 00:00:00,2014/2015
AVL,STK,4189,26,10252,10194,1,2,2015-02-21 00:00:00,2014/2015
CHE,BUR,4190,26,8455,8191,1,1,2015-02-21 00:00:00,2014/2015
CRY,ARS,4191,26,9826,9825,1,2,2015-02-21 00:00:00,2014/2015
