36; 25; 0.2787; 19; 21; -0.2; 6; 4; -0.25; 6; 4; -0.04; 30; 15; 0; 12; 11; 0; 6; 4; -0.25; 6; 4; -0.04; 2; 0; 1; 1; 0; 2; 82; 61; 1; 0; 0; -23; -23; 0; 1
38; 27; 0.7077; 29; 20; 0.2653; 6; 4; -0.15; 5; 5; 0.25; 21; 13; 0; 15; 12; 0; 6; 4; -0.15; 5; 5; 0.25; 1; 0; 1; 0; 0; 0; 88; 36; 1; 0; 0; 392; 392; 0; 1
32; 18; 0.4; 32; 20; 0.5577; 5; 5; 0.1333; 7; 3; -0.35; 16; 12; 0; 18; 15; 0; 5; 5; 0.1333; 7; 3; -0.35; 0; 0; 0; 0; 0; 0; 38; 51; 1; 0; 0; 140; 140; 0; 1
4; 5; -0.2222; 48; 19; 1.1343; 4; 6; -0.3; 8; 2; 0.25; 4; 3; 0; 39; 11; 1; 5; 5; -0.0667; 8; 2; 0.25; 0; 0; 0; 0; 0; 0; 92; 28; 1; 0; 0; -585; -565; 0; 1
27; 12; 0.9744; 31; 20; 0.3529; 6; 4; 0.3; 6; 4; 0.45; 24; 9; 1; 17; 12; 0; 6; 4; 0.3; 6; 4; 0.45; 1; 0; 2; 1; 0; 2; 30; 36; 1; 0; 0; 140; 140; 1; 0
50; 19; 1.1159; 28; 12; 0.95; 8; 2; -0.3; 6; 4; 0.1; 41; 11; 1; 25; 9; 1; 8; 2; -0.3; 6; 4; 0.1; 2; 0; 1; 2; 0; 1; 28; 30; 1; 0; 0; 440; 440; 0; 1
24; 32; -0.3929; 19; 13; 0.6563; 2; 8; 0.15; 6; 4; 0.2333; 9; 17; 0; 12; 6; 0; 2; 8; 0.15; 6; 4; -0.25; 0; 2; -2.5; 0; 1; -2; 68; 24; 1; 0; 0; -389; -638; 0; 1
25; 22; 0.0426; 10; 15; -0.44; 4; 6; -0.15; 6; 4; -0.1; 8; 14; 0; 6; 10; -1; 4; 6; -0.15; 5; 5; -0.35; 5; 3; 0.625; 3; 1; 1.5; 17; 27; 1; 0; 0; -282; -148; 1; 0
15; 12; 0.6296; 28; 25; 0.5472; 7; 3; 0.25; 6; 4; -0.1667; 13; 11; 0; 17; 15; 0; 7; 3; 0.25; 6; 4; -0.1667; 1; 2; -1.6667; 1; 2; -1.6667; 100; 49; 1; 0; 0; -44; -44; 0; 1
28; 17; 0.6889; 9; 13; -0.7727; 6; 4; -0.3; 1; 9; -0.25; 19; 12; 0; 1; 1; 0; 6; 4; -0.3; 2; 8; 0.3; 1; 1; 1; 0; 1; -2; 9; 56; 1; 0; 0; 612; 587; 1; 0
