1W; 1L; 1GDpS; 2W; 2L; 2GDpS; 1FW; 1FL; 1FGDpS; 2FW; 2FL; 2FGDpS; 1SW; 1SL; 1SGDpS; 2SW; 2SL; 2SGDpS; 1SFW; 1SFL; 1SFGDpS; 2SFW; 2SFL; 2SFGDpS; 1MW; 1ML; 1MGDpS; 1MSW; 1MSL; 1MSGDpS; 1R; 2R; H; C; G; dSc; dSSc; 1; 2
0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; 2; -0.25; 1; 2; -0.6667; 61; 35; 1; 0; 0; 0; 0; 0; 1
0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; -1.5; 0; 1; -1; 69; 34; 1; 0; 0; 0; 0; 0; 1
0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 1; -1; 70; 22; 1; 0; 0; 0; 0; 0; 1
0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; -2; 0; 1; -2; 68; 16; 1; 0; 0; 0; 0; 0; 1
0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; 15; -1.4706; 2; 13; -1.4667; 41; 3; 1; 0; 0; 0; 0; 0; 1
0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 8; 1; 1.3333; 5; 0; 0.8; 2; 43; 1; 0; 0; 0; 0; 1; 0
1; 0; 3; 1; 0; 1; 1; 0; 3.5; 1; 0; 1; 1; 0; 3; 1; 0; 1; 1; 0; 3.5; 1; 0; 1; 5; 0; 2.6; 3; 0; 2.3333; 38; 65; 1; 0; 0; -11; -11; 1; 0
1; 0; 1; 1; 0; 1; 1; 0; 1.6667; 1; 0; 1.3333; 1; 0; 1; 1; 0; 1; 1; 0; 1.6667; 1; 0; 1.3333; 3; 0; 1.6667; 3; 0; 1.6667; 35; 56; 1; 0; 0; 1; 1; 1; 0
1; 0; 1; 4; 0; 0.5; 1; 0; 1.5; 4; 0; 0.0833; 1; 0; 1; 4; 0; 0; 1; 0; 1.5; 4; 0; 0.0833; 1; 1; 1.5; 1; 0; 3; 22; 94; 1; 0; 0; 0; 0; 1; 0
1; 0; 6; 1; 0; 1; 1; 0; 6; 1; 0; 1.6667; 1; 0; 6; 1; 0; 1; 1; 0; 6; 1; 0; 1.6667; 0; 1; -2; 0; 1; -2; 75; 6; 1; 0; 0; 0; 0; 0; 1
2; 0; 2; 2; 0; 1; 2; 0; 0.75; 2; 0; 1.25; 2; 0; 2; 2; 0; 1; 2; 0; 0.75; 2; 0; 1.25; 0; 3; -1.6667; 0; 3; -1.6667; 22; 16; 1; 0; 0; 34; 34; 0; 1
1; 0; 3; 2; 0; 1.5; 1; 0; 3; 2; 0; 0.8333; 1; 0; 3; 2; 0; 1; 1; 0; 3; 2; 0; 0.8333; 0; 1; -4; 0; 1; -4; 66; 6; 1; 0; 0; 15; 15; 0; 1
2; 0; 3.5; 2; 0; 2.5; 2; 0; 2; 2; 0; 1.75; 2; 0; 3; 2; 0; 2; 2; 0; 2; 2; 0; 1.75; 9; 0; 2.4444; 5; 0; 2.2; 3; 38; 1; 0; 0; -49; -49; 1; 0
