0; 1; -2; 0; 0; 0; 4; 6; -0.1333; 3; 7; -0.25; 0; 1; -2; 0; 0; 0; 4; 6; -0.1; 3; 7; -0.25; 4; 1; 0.8; 2; 1; 0; 95; 29; 1; 0; 0; -1; -1; 0; 1; 3.3; 1.37
1; 1; 0.5; 3; 1; 2.25; 5; 5; 0.4; 5; 5; 0.2; 1; 1; 0; 3; 1; 2; 5; 5; 0.4; 5; 5; 0.2; 0; 0; 0; 0; 0; 0; 84; 100; 1; 0; 0; -197; -197; 0; 1; 1.81; 2.02
0; 0; 0; 3; 2; -0.4; 3; 7; 0.2; 6; 4; -0.0667; 0; 0; 0; 3; 2; 0; 2; 8; -0.2; 6; 4; -0.0667; 0; 0; 0; 0; 0; 0; 52; 32; 1; 0; 0; -412; -494; 0; 1; 3.84; 1.28
4; 1; 1.2; 0; 0; 0; 6; 4; -0.1333; 6; 4; 0.2; 4; 1; 1; 0; 0; 0; 6; 4; -0.1333; 6; 4; 0.2; 2; 0; 2.5; 0; 0; 0; 87; 61; 1; 0; 0; 20; 20; 0; 1; 1.8; 2.03
0; 0; 0; 2; 1; -0.3333; 4; 6; -0.2333; 6; 4; -0.3; 0; 0; 0; 2; 1; 0; 4; 6; -0.25; 6; 4; -0.3; 0; 0; 0; 0; 0; 0; 56; 45; 1; 0; 0; -429; -429; 1; 0; 5.34; 1.17
0; 1; -2; 0; 2; -1.5; 2; 8; -0.25; 2; 8; 0.3; 0; 1; -2; 0; 2; -1; 2; 8; -0.25; 2; 8; 0.3; 1; 1; -0.5; 1; 0; 0; 44; 36; 1; 0; 0; 17; 17; 0; 1; 1.98; 1.86
1; 1; -0.5; 1; 1; -1; 5; 5; 0.0667; 4; 6; 0; 1; 1; 0; 1; 1; -1; 5; 5; 0.0667; 6; 4; 0.15; 0; 0; 0; 0; 0; 0; 60; 86; 1; 0; 0; -102; -192; 0; 1; 2.38; 1.59
2; 2; 0.25; 0; 1; -4; 4; 6; -0.2; 2; 8; -0.35; 2; 2; 0; 0; 1; -4; 4; 6; -0.2; 3; 7; -0.1333; 0; 0; 0; 0; 0; 0; 22; 82; 1; 0; 0; 162; 286; 1; 0; 1.22; 4.43
1; 0; 0; 0; 1; -2; 5; 5; 0.2; 4; 6; 0.1667; 1; 0; 0; 0; 1; -2; 5; 5; 0.2; 4; 6; 0.1667; 1; 0; 3; 1; 0; 3; 17; 21; 1; 0; 0; 162; 162; 0; 1; 1.71; 2.18
0; 1; -2; 0; 1; -2; 4; 6; -0.3333; 3; 7; 0.3333; 0; 1; -2; 0; 1; -2; 4; 6; -0.3333; 3; 7; 0.3333; 1; 2; -0.6667; 1; 0; 2; 18; 37; 1; 0; 0; 388; 388; 1; 0; 1.4; 3.01
