id,rank,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
172,Edouard Roger-Vasselin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,97,NULL,NULL,NULL,NULL,NULL,52,87,NULL,NULL,NULL,NULL
173,Alejandro Falla,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,81,NULL,81,NULL,74,54,99,88,NULL,NULL,NULL,NULL
174,Joao Souza,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,NULL,NULL,NULL,NULL
175,Alejandro Gonzalez,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,91,91,NULL,NULL,NULL,NULL
176,Tatsuma Ito,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79,NULL,93,NULL,NULL,NULL,NULL
177,Tobias Kamke,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,67,96,98,74,97,NULL,NULL,NULL,NULL
178,Go Soeda,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,60,NULL,99,NULL,NULL,NULL,NULL
179,Jurgen Melzer,NULL,NULL,NULL,91,79,39,52,41,60,34,28,11,33,29,27,NULL,NULL,NULL,NULL,NULL
180,Dmitry Tursunov,NULL,NULL,NULL,NULL,98,80,60,22,34,22,89,NULL,40,NULL,29,NULL,NULL,NULL,NULL,NULL
181,Janko Tipsarevic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,64,52,49,38,49,9,9,36,NULL,NULL,NULL,NULL,NULL
182,Nikolay Davydenko,NULL,NULL,79,81,44,28,5,3,4,5,6,22,41,44,53,NULL,NULL,NULL,NULL,NULL
183,Daniel Brands,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,92,NULL,NULL,NULL,54,NULL,NULL,NULL,NULL,NULL
184,Albert Montanes,NULL,NULL,65,78,81,99,71,85,46,45,31,25,53,96,63,NULL,NULL,NULL,NULL,NULL
185,Michal Przysiezny,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86,NULL,NULL,66,NULL,NULL,NULL,NULL,NULL
186,Filippo Volandri,NULL,NULL,NULL,NULL,47,43,38,38,40,NULL,NULL,91,69,88,71,NULL,NULL,NULL,NULL,NULL
187,Lukasz Kubot,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,70,57,74,72,NULL,NULL,NULL,NULL,NULL
188,Victor Hanescu,NULL,NULL,NULL,NULL,70,92,35,NULL,76,50,48,51,90,62,80,NULL,NULL,NULL,NULL,NULL
189,Kenny De Schepper,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,84,NULL,NULL,NULL,NULL,NULL
190,Julian Reister,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86,NULL,NULL,NULL,NULL,NULL
191,Alex Bogomolov Jr.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34,NULL,88,NULL,NULL,NULL,NULL,NULL
192,Tim Smyczek,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,89,NULL,NULL,NULL,NULL,NULL
193,Somdev Devvarman,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,84,NULL,90,NULL,NULL,NULL,NULL,NULL
194,Michael Russell,NULL,NULL,87,NULL,NULL,NULL,NULL,NULL,82,NULL,83,99,99,87,92,NULL,NULL,NULL,NULL,NULL
195,Aleksandr Nedovyesov,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,93,NULL,NULL,NULL,NULL,NULL
196,Mardy Fish,NULL,NULL,NULL,84,20,37,NULL,47,39,24,55,16,8,27,NULL,NULL,NULL,NULL,NULL,NULL
197,Andy Roddick,NULL,NULL,14,10,1,2,3,6,6,8,7,8,14,39,NULL,NULL,NULL,NULL,NULL,NULL
198,Michael Llodra,NULL,NULL,89,NULL,NULL,41,NULL,96,93,40,67,23,47,53,NULL,NULL,NULL,NULL,NULL,NULL
199,Grega Zemlja,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,55,NULL,NULL,NULL,NULL,NULL,NULL
200,Brian Baker,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61,NULL,NULL,NULL,NULL,NULL,NULL
201,Xavier Malisse,NULL,NULL,33,25,55,48,47,37,NULL,NULL,94,60,49,63,NULL,NULL,NULL,NULL,NULL,NULL
202,Bjorn Phau,NULL,NULL,NULL,NULL,NULL,NULL,87,77,NULL,NULL,NULL,NULL,NULL,75,NULL,NULL,NULL,NULL,NULL,NULL
203,David Nalbandian,NULL,NULL,47,12,8,9,6,8,9,11,64,27,64,82,NULL,NULL,NULL,NULL,NULL,NULL
204,Jurgen Zopp,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,89,NULL,NULL,NULL,NULL,NULL,NULL
205,Olivier Rochus,NULL,68,NULL,64,48,66,27,36,48,NULL,57,NULL,67,90,NULL,NULL,NULL,NULL,NULL,NULL
206,Ruben Ramirez Hidalgo,NULL,NULL,NULL,NULL,80,NULL,NULL,57,NULL,NULL,NULL,77,NULL,91,NULL,NULL,NULL,NULL,NULL,NULL
207,Guillaume Rufin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,92,NULL,NULL,NULL,NULL,NULL,NULL
208,Flavio Cipolla,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,75,95,NULL,NULL,NULL,NULL,NULL,NULL
209,Adrian Ungur,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,99,NULL,NULL,NULL,NULL,NULL,NULL
210,Robin Soderling,NULL,NULL,NULL,NULL,60,34,77,25,41,17,8,5,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL
211,Juan Ignacio Chela,NULL,63,70,23,38,26,39,33,20,NULL,73,38,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL
212,Ivan Ljubicic,77,91,37,49,42,22,9,5,18,44,24,17,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL
213,Juan Carlos Ferrero,42,12,5,4,3,31,17,23,24,55,23,29,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL
214,Potito Starace,NULL,NULL,NULL,NULL,NULL,76,NULL,83,31,72,62,47,58,NULL,NULL,NULL,NULL,NULL,NULL,NULL
215,James Blake,NULL,NULL,73,28,37,97,23,4,13,10,44,NULL,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL
216,Philipp Petzschner,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,66,80,57,63,NULL,NULL,NULL,NULL,NULL,NULL,NULL
217,Rui Machado,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,93,68,NULL,NULL,NULL,NULL,NULL,NULL,NULL
218,Igor Kunitsyn,NULL,NULL,NULL,NULL,NULL,NULL,NULL,94,NULL,47,NULL,100,71,NULL,NULL,NULL,NULL,NULL,NULL,NULL
219,Ryan Sweeting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,72,NULL,NULL,NULL,NULL,NULL,NULL,NULL
220,Ricardo Mello,NULL,NULL,NULL,NULL,NULL,71,NULL,NULL,NULL,NULL,NULL,76,85,NULL,NULL,NULL,NULL,NULL,NULL,NULL
221,Pere Riba,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,72,89,NULL,NULL,NULL,NULL,NULL,NULL,NULL
222,Matthias Bachinger,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,94,NULL,NULL,NULL,NULL,NULL,NULL,NULL
223,Eric Prodon,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,97,NULL,NULL,NULL,NULL,NULL,NULL,NULL
224,Andreas Beck,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39,NULL,98,NULL,NULL,NULL,NULL,NULL,NULL,NULL
225,Michael Berrer,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,57,NULL,74,58,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL
226,Fernando Gonzalez,NULL,NULL,NULL,18,35,23,11,10,7,15,11,68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
227,Florent Serra,NULL,NULL,NULL,NULL,NULL,NULL,49,60,92,59,65,69,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
228,Eduardo Schwank,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58,NULL,74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
229,Arnaud Clement,56,18,17,38,31,NULL,69,42,54,93,63,78,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
230,Igor Andreev,NULL,NULL,NULL,NULL,88,50,26,91,33,19,35,79,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
231,Rainer Schuettler,48,45,43,33,6,42,88,97,99,33,85,84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
232,Brian Dabul,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
233,Marsel Ilhan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
234,Jan Hajek,NULL,NULL,NULL,NULL,NULL,NULL,NULL,76,NULL,NULL,NULL,95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
235,Marcos Daniel,NULL,NULL,NULL,NULL,NULL,NULL,94,NULL,NULL,87,87,96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
236,Jose Acasuso,NULL,NULL,86,41,NULL,67,40,27,65,48,51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
237,Evgeny Korolev,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80,NULL,53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
238,Marco Chiudinelli,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
239,Marc Gicquel,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,70,54,58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
240,Simon Greul,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82,NULL,NULL,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
241,Maximo Gonzalez,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
242,Fabrice Santoro,34,31,22,35,62,52,58,52,37,52,68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
243,Fred Gil,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,69,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
244,Oscar Hernandez,NULL,NULL,NULL,NULL,89,85,NULL,NULL,58,68,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
245,Daniel Koellerer,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
246,Taylor Dent,NULL,NULL,NULL,57,33,32,29,NULL,NULL,NULL,76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
247,Peter Luczak,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79,NULL,77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
248,Christophe Rochus,NULL,74,69,NULL,84,NULL,41,78,NULL,69,86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
249,Mario Ancic,NULL,NULL,NULL,89,74,29,21,9,83,36,95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
250,Nicolas Lapentti,8,24,23,29,57,NULL,95,67,NULL,86,97,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
251,Martin Vassallo Arguello,NULL,NULL,NULL,NULL,NULL,NULL,NULL,81,74,71,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
252,Robby Ginepri,NULL,NULL,NULL,100,32,63,15,51,NULL,51,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
253,Marat Safin,24,2,11,3,77,4,12,26,56,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
254,Nicolas Kiefer,6,20,42,72,58,21,22,48,49,38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
255,Carlos Moya,23,41,19,5,7,5,31,43,17,42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
256,Agustin Calleri,NULL,62,67,50,24,58,51,29,42,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
257,Bobby Reynolds,NULL,NULL,NULL,NULL,NULL,NULL,92,NULL,NULL,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
258,Nicolas Devilder,NULL,NULL,NULL,NULL,NULL,NULL,NULL,95,NULL,73,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
259,Ivan Navarro,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
260,Vincent Spadea,20,NULL,NULL,67,29,20,75,73,77,76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
261,Nicolas Massu,97,87,80,56,12,19,65,44,78,77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
262,Diego Junqueira,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
263,Guillermo Canas,71,NULL,15,15,NULL,12,NULL,NULL,15,79,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
264,Jan Hernych,NULL,NULL,NULL,NULL,NULL,83,74,75,NULL,81,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
265,Denis Gremelmayr,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
266,Kristof Vliegen,NULL,NULL,NULL,NULL,NULL,NULL,93,31,98,84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
267,Roko Karanusic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,91,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
268,Chris Guccione,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,91,96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
269,Robert Kendrick,NULL,NULL,NULL,NULL,NULL,NULL,NULL,87,NULL,97,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
270,Ivo Minar,NULL,NULL,NULL,NULL,NULL,NULL,73,NULL,NULL,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
271,Alberto Martin,57,79,41,61,54,68,50,61,NULL,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
272,Stefan Koubek,46,54,63,54,53,60,NULL,80,47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
273,Hyung-Taik Lee,NULL,90,NULL,87,56,59,NULL,49,51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
274,Sebastien Grosjean,27,19,6,17,10,15,25,28,53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
275,Jonas Bjorkman,73,44,60,48,30,70,62,54,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
276,Thomas Johansson,39,39,18,14,NULL,30,13,71,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
277,Werner Eschauer,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
278,Sergio Roitman,NULL,NULL,NULL,NULL,NULL,NULL,NULL,72,69,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
279,Frank Dancevic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88,72,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
280,Luis Horna,NULL,NULL,NULL,85,64,38,84,63,73,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
281,Andrei Pavel,41,27,28,26,69,18,80,NULL,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
282,Santiago Ventura,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
283,Diego Hartfield,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,89,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
284,Thierry Ascione,NULL,NULL,NULL,NULL,NULL,NULL,96,NULL,94,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
285,Boris Pashanski,NULL,NULL,NULL,NULL,NULL,NULL,82,NULL,96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
286,Dominik Hrbaty,21,17,36,51,61,14,18,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
287,Gaston Gaudio,72,34,48,21,34,10,10,34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
288,Tim Henman,12,10,9,8,15,6,36,39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
289,Paradorn Srichaphan,99,NULL,NULL,16,11,27,42,53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
290,Max Mirnyi,74,40,35,43,23,47,34,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
291,Daniele Bracciali,NULL,NULL,NULL,NULL,NULL,NULL,81,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
292,Paul Goldstein,89,81,NULL,NULL,NULL,NULL,67,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
293,Kristian Pless,NULL,NULL,68,82,NULL,NULL,NULL,84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
294,Justin Gimelstob,82,97,NULL,NULL,NULL,NULL,NULL,86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
295,Alessio Di Mauro,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
296,Amer Delic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,93,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
297,Lukas Dlouhy,NULL,NULL,NULL,NULL,NULL,NULL,98,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
298,Olivier Patience,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
299,Andre Agassi,1,6,3,2,4,8,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
300,Guillermo Coria,NULL,88,44,45,5,7,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
301,Greg Rusedski,14,69,31,31,NULL,46,37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
302,Davide Sanguinetti,NULL,65,91,46,65,NULL,44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
303,Jiri Novak,40,53,29,7,13,24,48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
304,Joachim Johansson,NULL,NULL,NULL,NULL,95,11,53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
305,Mariano Puerta,NULL,21,NULL,NULL,NULL,NULL,56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
306,Karol Beck,NULL,NULL,NULL,NULL,66,44,57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
307,Tomas Zib,NULL,NULL,NULL,NULL,NULL,NULL,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
308,Robin Vik,NULL,NULL,NULL,NULL,NULL,NULL,61,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
309,Wesley Moodie,NULL,NULL,NULL,NULL,82,NULL,63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
310,Kenneth Carlsen,85,NULL,NULL,65,NULL,84,66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
311,Mariano Zabaleta,28,61,59,53,27,54,83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
312,Tomas Behrend,NULL,NULL,NULL,NULL,87,NULL,89,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
313,Cyril Saulnier,NULL,NULL,NULL,NULL,86,53,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
314,Wayne Arthurs,NULL,83,77,52,NULL,NULL,97,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
315,Jiri Vanek,NULL,77,NULL,NULL,NULL,NULL,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
316,Jimmy Wang,NULL,NULL,NULL,NULL,NULL,NULL,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
317,Gustavo Kuerten,5,1,2,37,16,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
318,Martin Verkerk,NULL,NULL,NULL,86,19,55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
319,Albert Costa,18,26,40,9,25,56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
320,Sjeng Schalken,44,22,26,20,18,57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
321,Hicham Arazi,36,30,25,90,52,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
322,Nicolas Escude,37,48,27,34,NULL,64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
323,Thomas Enqvist,4,9,24,44,96,72,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
324,David Sanchez,NULL,89,74,60,50,74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
325,Sargis Sargsian,59,94,72,NULL,39,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
326,Irakli Labadze,NULL,NULL,NULL,93,72,78,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
327,Antony Dupuis,83,NULL,90,70,78,79,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
328,Alex Calatrava,NULL,56,100,NULL,NULL,81,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
329,Raemon Sluiter,NULL,95,NULL,71,59,82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
330,Bohdan Ulihrach,NULL,76,32,75,NULL,86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
331,Peter Wessels,NULL,NULL,NULL,NULL,NULL,89,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
332,Gregory Carraz,NULL,NULL,NULL,NULL,67,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
333,Karol Kucera,17,73,NULL,83,40,91,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
334,Jerome Haehnel,NULL,NULL,NULL,NULL,NULL,93,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
335,Kevin Kim,NULL,NULL,NULL,NULL,NULL,94,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
336,Jan-Michael Gambill,58,33,21,42,51,95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
337,Jeff Morrison,NULL,NULL,NULL,97,NULL,96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
338,Michal Tabara,NULL,96,64,NULL,NULL,98,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
339,Lars Burgsmuller,NULL,NULL,83,76,76,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
340,Mark Philippoussis,19,11,NULL,80,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
341,Younes El Aynaoui,33,25,38,22,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
