id,rank,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
41,Adrian Mannarino,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83,87,NULL,59,44,47,60,28,42
42,Nicolas Jarry,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43
43,Joao Sousa,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,49,54,33,43,57,44
44,Malek Jaziri,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,76,NULL,58,98,45
45,Matthew Ebden,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86,NULL,68,NULL,NULL,NULL,76,46
46,Damir Dzumhur,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82,77,30,47
47,Dusan Lajovic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,69,76,93,75,48
48,Taylor Fritz,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,76,NULL,49
49,Robin Haase,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,65,45,56,43,83,66,59,42,50
50,Sam Querrey,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63,39,25,18,93,22,46,35,59,31,13,51
51,Benoit Paire,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,95,47,26,NULL,19,47,41,52
52,Mikhail Kukushkin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,59,91,NULL,67,70,65,89,74,53
53,Matteo Berrettini,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,54
54,Pierre-Hugues Herbert,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78,81,55
55,Leonardo Mayer,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,75,94,78,71,94,28,35,NULL,52,56
56,Jan-Lennard Struff,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,59,NULL,63,53,57
57,Guido Pella,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,97,NULL,NULL,74,80,64,58
58,Peter Gojowczyk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79,NULL,NULL,60,59
59,Marius Copil,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,93,60
60,Tennys Sandgren,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,96,61
61,Ryan Harrison,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79,69,100,NULL,NULL,90,47,62
62,Denis Kudla,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,69,NULL,NULL,63
63,Feliciano Lopez,NULL,NULL,NULL,62,28,25,33,79,35,30,47,32,20,40,28,14,17,28,36,64
64,Albert Ramos-Vinolas,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,66,50,83,63,54,27,23,65
65,Stan Wawrinka,NULL,NULL,NULL,NULL,NULL,NULL,54,30,36,13,21,21,17,17,8,4,4,4,9,66
66,Aljaz Bedene,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86,95,NULL,45,NULL,49,67
67,Andrey Rublev,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39,68
68,Mischa Zverev,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88,80,78,82,NULL,NULL,NULL,NULL,NULL,51,33,69
69,Vasek Pospisil,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32,53,39,NULL,NULL,70
70,Tomas Berdych,NULL,NULL,NULL,NULL,NULL,45,24,13,14,20,20,6,7,6,7,7,6,10,19,71
71,Jordan Thompson,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79,94,72
72,Roberto Carballes Baena,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,73
73,Maximilian Marterer,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,74
74,Yoshihito Nishioka,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,NULL,75
75,Bradley Klahn,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,97,NULL,NULL,NULL,NULL,76
76,Taro Daniel,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,96,NULL,99,77
77,Mackenzie McDonald,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78
78,Guido Andreozzi,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79
79,Federico Delbonis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,55,60,52,41,68,80
80,Jaume Munar,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,81
81,Pablo Andujar,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,71,46,42,48,41,64,NULL,NULL,82
82,Bernard Tomic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42,52,51,56,18,26,NULL,83
83,Cristian Garin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,84
84,Jozef Kovalik,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85
85,Hubert Hurkacz,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86
86,Mirza Basic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,87
87,Pablo Cuevas,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,63,NULL,NULL,NULL,30,40,22,32,88
88,Jiri Vesely,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85,66,41,55,62,89
89,Cameron Norrie,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90
90,Ilya Ivashka,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,91
91,Denis Istomin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40,73,43,45,49,61,NULL,63,92
92,Laslo Djere,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88,93
93,Filip Krajinovic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,NULL,NULL,34,94
94,Ernests Gulbis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61,53,90,24,61,NULL,24,13,81,NULL,NULL,95
95,Marcel Granollers,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,56,91,42,27,34,38,46,84,37,NULL,96
96,Evgeny Donskoy,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,81,NULL,NULL,91,NULL,72,97
97,Radu Albot,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,97,87,98
98,Reilly Opelka,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,99
99,Ivo Karlovic,NULL,NULL,NULL,NULL,73,61,70,98,22,26,37,73,56,100,78,27,23,20,80,100
100,Jack Sock,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42,26,23,8,NULL
101,Jo-Wilfried Tsonga,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,6,10,13,6,8,10,12,10,12,15,NULL
102,Andy Murray,NULL,NULL,NULL,NULL,NULL,NULL,64,17,11,4,4,4,4,3,4,6,2,1,16,NULL
103,Gilles Muller,NULL,NULL,NULL,NULL,NULL,69,76,NULL,NULL,95,NULL,NULL,54,67,NULL,47,38,34,25,NULL
104,David Ferrer,NULL,NULL,NULL,59,71,49,14,14,5,12,17,7,5,5,3,10,7,21,37,NULL
105,Alexandr Dolgopolov,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48,15,18,57,23,36,62,38,NULL
106,Yuichi Sugita,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40,NULL
107,Paolo Lorenzi,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,84,NULL,NULL,64,NULL,64,68,40,43,NULL
